Gene_id	p.values	adj.p.values	p.values_inverted	adj.p.values_inverted	DTU_measure	Mean log-prec s1	Mean log-prec s2	SD log-prec s1	SD log-prec s2
ENSG00000261740.6	0	0	0	0	0.841854252520776	4.46864553793085	3.29676110781229	0.69764128323143	0.596292925132794
ENSG00000273136.7	0	0	0	0	0.847229112253897	7.34495570524922	6.82840480048482	1.60291671816491	1.32152194454053
ENSG00000125459.15	0	0	0	0	0.769823691481563	4.84244103868828	5.59125605450854	0.397083127690501	0.377321974473453
ENSG00000011295.16	0	0	0	0	0.805136238759562	4.96399005623738	5.36785672378759	0.445977162617684	0.533421774683566
ENSG00000113810.16	0	0	0	0	0.828905059728351	7.59557762924791	6.67031159148666	0.368531053566265	0.384602811618403
ENSG00000092020.10	0	0	0	0	0.480750925299916	6.26392081659814	6.18846574676494	0.677427826545866	0.724720680784084
ENSG00000126456.16	0	0	0	0	0.40971928259653	5.36697486157727	6.10832692690345	0.363143415948593	0.811480760828555
ENSG00000132507.18	0	0	0	0	1.32305269775893	4.71212678936144	4.54254091196787	0.311230417970749	0.332878609132425
ENSG00000026950.17	0	0	0	0	1.04431996492166	7.36935289625292	5.83413780159621	1.19733818055771	0.994900536555412
ENSG00000005812.11	0	0	0	0	1.09173588815263	4.81585200076805	5.66635673354817	0.640599006759224	0.701149737789307
ENSG00000179364.13	0	0	0	0	0.457048175374329	6.48667896686097	6.20442482536653	0.601167055828013	0.592386946673963
ENSG00000143727.16	0	0	0	0	0.904117659700648	5.06238930076348	5.30148568624695	0.326339324521496	0.368259097902789
ENSG00000129071.9	0	0	0	0	0.868089513397564	7.62217183594147	6.97293361563795	0.938674789742765	1.06142310696949
ENSG00000175197.12	0	0	0	0	1.07035731566011	3.90828045447292	8.05360515661848	0.868596576263296	1.38463103849873
ENSG00000198690.10	0	0	0	0	0.866311852296036	5.68411421257955	4.66122132764791	0.653428874963319	0.425072859538172
ENSG00000164163.11	0	0	0	0	0.68392754311804	5.45182384628558	5.70241760023736	0.441405833573217	0.5176516610483
ENSG00000138079.14	0	0	0	0	1.3326662638427	5.9250391529082	9.11995482810401	1.01179252076422	3.06565476750733
ENSG00000105518.14	0	0	0	0	0.92754761701868	7.50671945379265	4.35407888599673	0.998084112311934	0.473218512477972
ENSG00000161217.12	0	0	0	0	0.332542177013177	6.26832028141065	5.36158354361934	0.368579397769389	0.390252591341822
ENSG00000032444.16	0	0	0	0	0.503136227452204	5.97593118464307	5.7769546228097	0.390722234511125	0.382935120244775
ENSG00000092841.18	0	0	0	0	0.841610836520337	4.16885170292456	4.44840218481232	0.29647179800491	0.252909352242083
ENSG00000103363.14	0	0	0	0	0.680086765681841	4.29630834975119	4.98613551513716	0.461988855600192	0.484451586368283
ENSG00000148337.21	0	0	0	0	0.998396792689916	6.36155255104347	5.93401835285341	0.386391979000144	0.356454613026432
ENSG00000135749.19	0	0	0	0	0.560869456063388	7.94269024741403	4.9938074285172	1.34446352282582	0.417427476364689
ENSG00000170633.16	0	0	0	0	1.07734387980026	8.05779581232905	8.27606137542641	0.891154569769797	1.25600511323072
ENSG00000136504.12	0	0	0	0	0.743418214268904	5.2665085310491	5.22059465448122	0.627539532912303	0.510893932966142
ENSG00000166086.13	0	0	0	0	0.94318459687518	6.05705460910643	5.90919933967504	0.603409796915168	0.597719904500861
ENSG00000007376.8	0	0	0	0	1.13149241387495	6.11450095451137	5.0164170804637	1.03028375192384	0.648261014072645
ENSG00000257524.6	0	0	0	0	0.979463581983228	10.7940177594709	8.15200572269855	1.74519614889997	2.22610105441682
ENSG00000158796.17	0	0	0	0	0.539832595536058	6.11637995046012	5.56933725776914	0.802501231253008	0.618891232557241
ENSG00000129347.21	0	0	0	0	0.923756838198757	7.26932398490422	7.59908199949765	0.818262177919111	1.64268742227429
ENSG00000160200.17	0	0	0	0	1.21794380410974	5.96833028193982	6.92998725768206	0.482411059278875	0.65014806677367
ENSG00000169432.16	0	0	0	0	0.374247716615827	5.10782506534651	5.71417728643118	0.340160730528957	0.450012878279777
ENSG00000111206.12	0	0	0	0	0.606597923813243	5.99938016644333	6.41669824744662	0.542891721190859	0.71281048975754
ENSG00000197451.12	0	0	0	0	0.663284780184291	4.80068173548033	4.58305147838848	0.596258462787158	0.608947225591869
ENSG00000197217.13	0	0	0	0	0.113783436036531	6.65987446145194	5.25278399062183	0.6028956428563	0.469464578999718
