cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_6854_+	Success	2.34893156726953	2	0.0954711122035917	0.442273587635373	NASP
chr1:clu_6855_+	Success	50.3620262310769	6	1.77202076492434e-19	3.06402079375028e-16	NASP
chr1:clu_6856_+	Success	32.9923460524396	3	3.08820475182603e-14	1.60195474493056e-11	NASP
chr1:clu_6857_+	Success	0.219828349327145	2	0.802656562677493	0.936610662199369	NASP
chr1:clu_7060_+	Success	1.47465908998606	2	0.228856733300049	0.625655149643661	NBPF26
chr1:clu_7061_+	Success	21.4048102098874	3	2.70103911454881e-09	2.73939209266311e-07	NBPF26
chr1:clu_7062_+	Success	14.779543712164	13	0.0054489173852683	0.0765307331674597	NBPF26
chr1:clu_7064_+	Success	24.5410736121557	9	1.60198530370784e-07	8.96659410732925e-06	NBPF26
chr12:clu_12359_-	Success	10.7343738123984	1	3.59642516874378e-06	0.000131998982254695	PIANP
chr12:clu_12417_-	Success	27.1258945019467	2	1.65719533127762e-12	4.77579143432265e-10	INTS13
chr12:clu_12418_-	Not enough valid samples	NA	NA	NA	NA	INTS13
chr17:clu_16715_+	Success	24.3374040109879	7	2.62731213215366e-08	1.97518026089736e-06	TMUB2
chr17:clu_16716_+	Success	10.014876621953	3	0.000167349399701167	0.0040883694790417	TMUB2
chr18:clu_11080_-	Success	11.7339119834351	1	1.27020433446434e-06	5.41559448025592e-05	PIGN
chr18:clu_11081_-	Success	0.224675552313329	2	0.798775337532293	0.935312045036639	PIGN
chr18:clu_11082_-	Success	2.60507304455257	1	0.0224554477952913	0.202580683240767	PIGN
chr18:clu_11083_-	Success	5.98774642542912	2	0.00250931260617014	0.0412789881365959	PIGN
chr18:clu_11084_-	Success	1.2841665215476	2	0.276881262051665	0.672300127779278	PIGN
chr18:clu_11085_-	Success	50.9116950030557	6	1.04470421785853e-19	2.03221087978931e-16	PIGN
chr2:clu_15703_+	Success	13.8064091552515	4	1.49417833608034e-05	0.000467855196500649	HAT1
chr20:clu_3400_+	Success	14.0632762460579	1	1.13636065457981e-07	6.77549597952911e-06	NCOA3
chr20:clu_3401_+	Success	15.327029511255	1	3.08380799691812e-08	2.26368962490754e-06	NCOA3
chr20:clu_3402_+	Success	15.018485845527	1	4.23886868147218e-08	2.9448783223692e-06	NCOA3
chr3:clu_10071_+	Success	15.2754244032012	1	3.25229549672632e-08	2.36505712710537e-06	RPL35A
chr3:clu_10072_+	Success	27.3217034885893	3	8.18058152138214e-12	1.79304520613731e-09	RPL35A
chr5:clu_2809_-	Success	0.467694612967733	1	0.333466442484348	0.716263449502739	DROSHA
chr5:clu_2810_-	Success	46.0467479626259	5	2.43996015055846e-18	2.92081998946083e-15	DROSHA
chr5:clu_2811_-	Success	17.0988475337015	2	3.75029014973148e-08	2.6771566656019e-06	DROSHA
