contig	strand	event_id	gene_name	exon_pre_start	exon_pre_end	exon_start	exon_end	exon_aft_start	exon_aft_end	sample1.SortedByCoord.exon_pre_cov	sample1.SortedByCoord.exon_cov	sample1.SortedByCoord.exon_aft_cov	sample1.SortedByCoord.intron_pre_conf	sample1.SortedByCoord.intron_aft_conf	sample1.SortedByCoord.intron_skip_conf	sample1.SortedByCoord.psi	sample2.SortedByCoord.exon_pre_cov	sample2.SortedByCoord.exon_cov	sample2.SortedByCoord.exon_aft_cov	sample2.SortedByCoord.intron_pre_conf	sample2.SortedByCoord.intron_aft_conf	sample2.SortedByCoord.intron_skip_conf	sample2.SortedByCoord.psi	sample3.SortedByCoord.exon_pre_cov	sample3.SortedByCoord.exon_cov	sample3.SortedByCoord.exon_aft_cov	sample3.SortedByCoord.intron_pre_conf	sample3.SortedByCoord.intron_aft_conf	sample3.SortedByCoord.intron_skip_conf	sample3.SortedByCoord.psi	sample4.SortedByCoord.exon_pre_cov	sample4.SortedByCoord.exon_cov	sample4.SortedByCoord.exon_aft_cov	sample4.SortedByCoord.intron_pre_conf	sample4.SortedByCoord.intron_aft_conf	sample4.SortedByCoord.intron_skip_conf	sample4.SortedByCoord.psi	sample5.SortedByCoord.exon_pre_cov	sample5.SortedByCoord.exon_cov	sample5.SortedByCoord.exon_aft_cov	sample5.SortedByCoord.intron_pre_conf	sample5.SortedByCoord.intron_aft_conf	sample5.SortedByCoord.intron_skip_conf	sample5.SortedByCoord.psi	sample6.SortedByCoord.exon_pre_cov	sample6.SortedByCoord.exon_cov	sample6.SortedByCoord.exon_aft_cov	sample6.SortedByCoord.intron_pre_conf	sample6.SortedByCoord.intron_aft_conf	sample6.SortedByCoord.intron_skip_conf	sample6.SortedByCoord.psi	sample7.SortedByCoord.exon_pre_cov	sample7.SortedByCoord.exon_cov	sample7.SortedByCoord.exon_aft_cov	sample7.SortedByCoord.intron_pre_conf	sample7.SortedByCoord.intron_aft_conf	sample7.SortedByCoord.intron_skip_conf	sample7.SortedByCoord.psi	sample8.SortedByCoord.exon_pre_cov	sample8.SortedByCoord.exon_cov	sample8.SortedByCoord.exon_aft_cov	sample8.SortedByCoord.intron_pre_conf	sample8.SortedByCoord.intron_aft_conf	sample8.SortedByCoord.intron_skip_conf	sample8.SortedByCoord.psi
chr1	+	exon_skip.369	ENSG00000132780.17	45591223	45591270	45600385	45600457	45602255	45602365	243.5	36	252.7	39	33	199	0.14	192.2	25.5	201.5	25	18	154	0.1	262.4	32	284	35	32	213	0.13	243.1	25.9	217.2	26	28	183	0.12	218.3	183.8	286.8	142	204	76	0.65	208.2	183.6	228.9	155	189	45	0.78	305.1	235.8	376.4	200	225	96	0.68	199.8	137.6	223.5	129	135	58	0.69
chr1	+	exon_skip.370	ENSG00000132780.17	45591223	45591270	45602255	45602365	45604936	45605016	243.5	252.7	251.3	199	242	1	0.99	192.2	201.5	217.7	154	199	10	0.94	262.4	284	318.7	213	294	4	0.98	243.1	217.2	227.7	183	195	17	0.92	218.3	286.8	277.2	76	263	6	0.93	208.2	228.9	227.8	45	221	3	0.94	305.1	376.4	348.8	96	371	4	0.96	199.8	223.5	220.4	58	219	4	0.94
chr1	+	exon_skip.377	ENSG00000132780.17	45606482	45606591	45607321	45608337	45613169	45613248	244.1	59.9	244.9	68	57	154	0.27	213.7	41.6	225.7	35	31	149	0.17	329.9	78.9	325.5	75	54	225	0.19	219.5	55.2	218.3	56	38	144	0.21	268.2	192	250.2	196	175	35	0.83	252.1	209.8	233.5	246	170	20	0.89	330.4	250.3	341.2	254	263	58	0.81	220.1	175.6	258.4	153	154	54	0.74
chr1	+	exon_skip.378	ENSG00000132780.17	45616626	45616703	45617463	45617591	45618061	45618247	197	193.3	133.9	179	180	3	0.98	211.7	193.3	108.2	182	174	0	1	278.8	232.7	158	247	213	11	0.95	217.5	209.2	140.5	182	194	18	0.91	112.9	122.1	73.5	112	101	0	1	44.9	49.4	47.7	44	48	4	0.92	75.1	74.6	47.7	64	62	3	0.95	73	82.2	55.9	65	91	3	0.96
chr1	+	exon_skip.619	ENSG00000273136.7	120818123	120818174	120822104	120822156	120823309	120823360	49	51.1	52.8	48	0	6	NA	17.4	22.5	19.4	20	0	0	NA	70.8	69.5	63.5	63	4	6	0.4	33.7	41.1	34.3	36	4	2	NA	26.7	1.9	20.9	1	0	21	0	45.3	6.6	40.5	6	1	39	0.03	53.7	4.7	49.6	3	0	45	0	52.1	4.1	53.2	4	0	40	0
chr1	+	exon_skip.620	ENSG00000273136.7	120818123	120818174	120822104	120822267	120823309	120823360	49	44.5	52.8	48	44	6	0.88	17.4	21.6	19.4	20	15	0	1	70.8	56.5	63.5	63	46	6	0.88	33.7	29.9	34.3	36	24	2	0.92	26.7	2.1	20.9	1	2	21	0.05	45.3	6.2	40.5	6	3	39	0.07	53.7	4.3	49.6	3	5	45	0.06	52.1	5	53.2	4	5	40	0.09
chr12	-	exon_skip.5114	ENSG00000064102.15	26913974	26914128	26914408	26914578	26916002	26916180	75.5	75.9	65.3	66	56	4	0.93	76.6	72	70.1	63	66	12	0.84	56.2	50.5	48.1	67	39	4	0.91	76.3	48.6	71.6	51	51	7	0.88	68.3	9.8	50.6	8	8	49	0.14	61.2	5.4	69.2	4	5	59	0.06	52.5	5.7	55.2	8	5	48	0.09	103.1	16.6	111.8	13	14	87	0.13
chr18	-	exon_skip.10113	ENSG00000197563.11	62109834	62109973	62113134	62113316	62114561	62114639	115.8	124.8	114.7	102	110	2	0.98	85.6	91.8	87.9	78	76	9	0.89	62.3	69.4	81.6	73	67	0	1	88.3	76.8	96.9	78	78	10	0.89	89.1	82.7	92.7	65	84	0	1	117.4	91.1	100.6	103	83	10	0.89	132	102.4	105.1	108	90	11	0.89	93	89.5	101	82	79	7	0.92
chr18	-	exon_skip.10114	ENSG00000197563.11	62138983	62139075	62140420	62140479	62143306	62143346	111.8	115.8	111.4	119	96	5	0.95	91.6	89.2	88.3	82	80	2	0.98	72.9	64.4	73.5	64	57	6	0.9	98	100.9	114.4	89	106	4	0.96	93	100.1	98.6	98	95	1	0.99	110.5	106.1	101.6	98	98	1	0.99	104.8	91.4	83.6	93	86	0	1	97.8	85.7	98.5	80	85	0	1
chr18	-	exon_skip.10116	ENSG00000197563.11	62161133	62161385	62162253	62162329	62163531	62163656	125	12.9	16.4	14	2	6	NA	100.7	17.1	13.8	16	6	2	NA	85.9	13.2	19.1	10	6	2	NA	83	13.5	23.8	12	9	4	0.69	115.9	94.7	10.6	92	5	1	NA	117.2	81.8	18.5	79	11	0	1	92.8	79.2	22.7	69	13	0	1	105.4	82.5	18.4	75	8	6	0.57
chr18	-	exon_skip.10117	ENSG00000197563.11	62161133	62161385	62162253	62162329	62186844	62187015	125	12.9	64	14	6	76	0.07	100.7	17.1	46.2	16	12	48	0.2	85.9	13.2	38.8	10	6	50	0.11	83	13.5	53.7	12	6	59	0.09	115.9	94.7	75.6	92	93	8	0.92	117.2	81.8	77.5	79	67	11	0.86	92.8	79.2	63.9	69	72	7	0.91	105.4	82.5	72.4	75	73	22	0.77
chr18	-	exon_skip.10118	ENSG00000197563.11	62161133	62161385	62163531	62163656	62186844	62186989	125	16.4	72.1	6	14	76	0.07	100.7	13.8	52.1	2	14	48	0.04	85.9	19.1	44.1	2	10	50	0.04	83	23.8	62.6	4	27	59	0.06	115.9	10.6	85.2	1	13	8	NA	117.2	18.5	86.1	0	17	11	0	92.8	22.7	72.7	0	21	7	NA	105.4	18.4	82	6	20	22	0.21
chr18	-	exon_skip.10119	ENSG00000197563.11	62162253	62162329	62163531	62163656	62186844	62187028	12.9	16.4	59.8	2	14	6	NA	17.1	13.8	43.4	6	14	12	0.33	13.2	19.1	36.4	6	10	6	0.5	13.5	23.8	50.1	9	27	6	0.6	94.7	10.6	71	5	13	93	0.05	81.8	18.5	72.9	11	17	67	0.14	79.2	22.7	59.8	13	21	72	0.15	82.5	18.4	67.8	8	20	73	0.1
chr2	+	exon_skip.11880	ENSG00000128708.13	171925537	171925641	171946708	171946783	171952881	171953001	108.1	136.8	183.6	113	139	12	0.9	128.3	176.7	184.9	167	163	19	0.9	74.6	111.7	128.9	94	101	11	0.9	94.5	112.8	124.9	103	109	6	0.94	94.5	12.9	139.9	16	7	95	0.07	110.1	10.8	141.5	8	9	114	0.07	117.8	18.8	187.4	16	20	136	0.11	96.8	20.5	155	23	16	108	0.13
chr2	+	exon_skip.11881	ENSG00000128708.13	171946708	171946783	171952881	171953001	171965338	171965517	136.8	183.6	164.6	139	152	1	0.99	176.7	184.9	190.3	163	161	1	0.99	111.7	128.9	131.1	101	133	0	1	112.8	124.9	116.9	109	101	0	1	12.9	139.9	167.2	7	162	1	NA	10.8	141.5	154.8	9	135	5	0.64	18.8	187.4	192.1	20	189	0	1	20.5	155	154.2	16	145	2	0.89
chr5	-	exon_skip.17118	ENSG00000113360.16	31514988	31515219	31515454	31515564	31521123	31521215	89.8	13	100.2	11	6	94	0.06	98.3	20.6	91.2	15	13	72	0.15	61.7	12.2	56.7	9	6	43	0.12	119.5	27.4	93.9	30	8	82	0.09	89.3	92.6	85.8	67	70	6	0.92	73.7	88.6	68.8	75	57	7	0.89	100.5	85.4	81.1	84	82	4	0.95	129.1	91.8	99.4	94	75	19	0.8
