ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4526	ENSG00000168591.16	TMUB2	chr17	+	44187616	44187743	44187048	44187109	44189021	44189588	4526	2,3,9,1	3,11,14,4	9,2,14,8	6,0,17,10	200	100	0.197159393224	1	0.25,0.12,0.243,0.111	0.429,1.0,0.292,0.286	-0.321
4527	ENSG00000168591.16	TMUB2	chr17	+	44187675	44187743	44186969	44187109	44189021	44189588	4527	13,15,17,7	3,11,14,4	20,7,36,28	6,0,17,10	168	100	0.298675915035	1	0.721,0.448,0.42,0.51	0.665,1.0,0.558,0.625	-0.187
4528	ENSG00000168591.16	TMUB2	chr17	+	44187906	44188009	44187271	44187743	44188934	44189299	4528	22,41,19,15	36,37,16,15	146,23,165,89	21,3,46,16	200	100	1.4413026328e-11	1.10837532181785e-09	0.234,0.357,0.373,0.333	0.777,0.793,0.642,0.736	-0.413
4529	ENSG00000168591.16	TMUB2	chr17	+	44189410	44189588	44188934	44189299	44190500	44191226	4529	79,93,60,29	9,11,10,5	93,26,130,80	65,14,53,46	200	100	7.51627360351e-09	4.98121173000096e-07	0.814,0.809,0.75,0.744	0.417,0.481,0.551,0.465	0.301
4530	ENSG00000168591.16	TMUB2	chr17	+	44189423	44189588	44188850	44189299	44190500	44190553	4530	83,97,65,29	9,11,10,5	112,26,126,83	65,14,53,46	200	100	1.69892833135e-09	1.16867631164553e-07	0.822,0.815,0.765,0.744	0.463,0.481,0.543,0.474	0.296
15713	ENSG00000182899.17	RPL35A	chr3	+	197952539	197952625	197951158	197951311	197954002	197954147	15713	0,0,0,0	3136,4013,3511,3413	0,0,1,0	903,679,875,889	186	100	1	1	0.0,0.0,0.0,0.0	0.0,0.0,0.001,0.0	0
15714	ENSG00000182899.17	RPL35A	chr3	+	197953487	197953660	197951158	197951311	197954002	197954147	15714	45,22,2,8	3136,4013,3511,3413	1,15,17,0	903,679,875,889	200	100	1	1	0.007,0.003,0.0,0.001	0.001,0.011,0.01,0.0	-0.003
16076	ENSG00000132780.17	NASP	chr1	+	45588650	45588948	45584044	45584205	45591222	45591270	16076	7,0,2,3	216,167,230,221	3,0,0,0	195,194,251,180	200	100	1	1	0.016,0.0,0.004,0.007	0.008,0.0,0.0,0.0	0.005
16078	ENSG00000132780.17	NASP	chr1	+	45594693	45594773	45591222	45591270	45600384	45600457	16078	6,1,0,0	39,25,35,26	0,1,6,1	142,155,200,129	180	100	1	1	0.079,0.022,0.0,0.0	0.0,0.004,0.016,0.004	0.019
16079	ENSG00000132780.17	NASP	chr1	+	45594693	45594773	45591222	45591270	45602254	45602365	16079	15,5,1,0	199,154,213,183	0,2,10,1	76,45,95,58	180	100	1	1	0.04,0.018,0.003,0.0	0.0,0.024,0.055,0.009	-0.007
